Año,Trimestre,Provincia,Total,Activos,Ocupados,Parados,Parados que buscan primer empleo,Inactivos
2009,4,Barcelona,4556300,2895900,2408000,487900,44300,1660400
2009,3,Barcelona,4553800,2892600,2430600,462000,47700,1661200
2009,2,Barcelona,4554000,2880700,2415400,465400,35600,1673300
2009,1,Barcelona,4551400,2917700,2455700,462100,48700,1633600
2008,4,Barcelona,4547000,2918500,2586700,331700,37300,1628500
2008,3,Barcelona,4534200,2893000,2646000,247000,31400,1641200
2008,2,Barcelona,4523100,2906100,2699700,206400,23500,1617000
2008,1,Barcelona,4507400,2892000,2676400,215600,23900,1615300
2007,4,Barcelona,4493000,2882000,2698900,183100,16300,1611000
2007,3,Barcelona,4474900,2845900,2644000,201800,18900,1629000
2007,2,Barcelona,4461000,2816800,2642100,174700,14400,1644300
2007,1,Barcelona,4445200,2803000,2622200,180800,11200,1642100
2006,4,Barcelona,4429900,2794100,2606800,187400,15100,1635800
2006,3,Barcelona,4412600,2774000,2599600,174400,16700,1638600
2006,2,Barcelona,4402200,2764300,2592400,171900,17700,1637900
2006,1,Barcelona,4390400,2766700,2573800,192900,13100,1623700
2005,4,Barcelona,4380300,2750600,2571600,179000,21400,1629700
2005,3,Barcelona,4365300,2685500,2523500,162100,22000,1679800
2005,2,Barcelona,4354900,2708700,2517200,191400,20700,1646200
2005,1,Barcelona,4337900,2666300,2454400,211900,26400,1671600
2004,4,Barcelona,4321700,2656000,2392200,263800,37400,1665600
2004,3,Barcelona,4300200,2642700,2369200,273500,49700,1657500
2004,2,Barcelona,4284300,2639500,2368100,271400,43900,1644800
2004,1,Barcelona,4270000,2631300,2345600,285700,53100,1638700
2003,4,Barcelona,4256000,2620200,2358000,262200,54800,1635800
2003,3,Barcelona,4239400,2611400,2329000,282400,54300,1628000
2003,2,Barcelona,4225100,2571900,2281100,290800,60000,1653100
2003,1,Barcelona,4204500,2535900,2248700,287200,48500,1668600
2002,4,Barcelona,4184600,2496700,2211300,285400,47900,1687900
2002,3,Barcelona,4160400,2485900,2218500,267500,42100,1674400
2002,2,Barcelona,4136900,2423000,2185100,237900,31000,1714000
2002,1,Barcelona,4111300,2410100,2142100,268000,33400,1701200
2016,1,Bizkaia,957000,537200,457500,79700,11000,419800
2015,4,Bizkaia,957600,537100,457700,79400,10500,420500
2015,3,Bizkaia,959400,529500,450800,78700,12200,429900
2015,2,Bizkaia,960300,536800,445600,91200,11900,423500
2015,1,Bizkaia,960600,548700,453800,95000,9300,411900
2014,4,Bizkaia,961300,554600,454100,100500,14300,406700
2014,3,Bizkaia,961100,535000,449500,85500,10900,426100
2014,2,Bizkaia,962400,544500,455900,88600,9900,417900
2014,1,Bizkaia,959700,541100,438900,102300,8900,418600
2013,4,Bizkaia,962400,550500,453500,97000,9100,412000
2013,3,Bizkaia,964500,543900,448500,95500,8700,420500
2013,2,Bizkaia,970500,552600,457300,95300,8600,417900
2013,1,Bizkaia,973400,565400,460000,105400,9100,408000
2012,4,Bizkaia,976000,575000,473200,101700,10700,401100
2012,3,Bizkaia,978000,564300,461600,102700,10000,413700
2012,2,Bizkaia,979800,565400,472400,92900,7400,414400
2012,1,Bizkaia,982000,559900,474700,85300,4600,422100
2011,4,Bizkaia,983800,572900,487000,85900,8600,410900
2011,3,Bizkaia,984600,571900,491100,80800,10900,412700
2011,2,Bizkaia,985200,569400,490300,79100,5200,415800
2011,1,Bizkaia,986200,570900,493200,77600,5000,415300
2010,4,Bizkaia,987400,572700,498800,74000,6000,414700
2010,3,Bizkaia,988000,564100,500000,64100,3400,423900
2010,2,Bizkaia,988700,577400,506100,71200,6600,411300
2010,1,Bizkaia,989500,555000,489300,65600,7300,434500
2009,4,Bizkaia,990100,554200,480700,73500,9400,436000
2009,3,Bizkaia,990400,558200,485300,72900,6800,432300
2009,2,Bizkaia,991200,559500,492200,67300,4500,431600
2009,1,Bizkaia,991400,561800,496100,65700,7300,429600
2008,4,Bizkaia,991600,563500,508400,55100,7700,428100
2008,3,Bizkaia,990700,565300,519500,45800,5800,425400
2008,2,Bizkaia,989900,563300,525100,38200,5400,426600
2008,1,Bizkaia,989300,551200,512500,38700,3400,438100
2007,4,Bizkaia,989200,555500,518600,36900,2800,433700
2007,3,Bizkaia,988400,553300,511000,42300,3600,435100
2007,2,Bizkaia,987900,560300,519000,41300,6100,427600
2007,1,Bizkaia,986800,559900,520700,39200,3500,426900
2006,4,Bizkaia,985900,573600,531000,42600,6300,412300
2006,3,Bizkaia,984900,568400,525700,42700,6600,416500
2006,2,Bizkaia,984400,563100,516900,46200,5200,421200
2006,1,Bizkaia,983700,562300,512900,49500,6600,421400
2005,4,Bizkaia,983600,558600,518800,39800,5500,425000
2005,3,Bizkaia,982700,545700,502000,43700,3300,437000
2005,2,Bizkaia,982400,555800,502000,53900,7100,426600
2005,1,Bizkaia,981900,550500,499300,51200,6100,431400
2004,4,Bizkaia,981300,552000,492800,59200,6200,429300
2004,3,Bizkaia,980300,542700,479600,63100,9100,437600
2004,2,Bizkaia,979800,537400,474700,62700,7300,442400
2004,1,Bizkaia,979700,537900,467100,70800,10400,441800
2003,4,Bizkaia,979500,536500,473500,63000,10600,443000
2003,3,Bizkaia,978600,537500,478000,59500,9600,441200
2003,2,Bizkaia,978400,533300,471200,62100,9300,445100
2003,1,Bizkaia,978000,522100,462900,59200,10200,456000
2002,4,Bizkaia,978000,525100,465400,59700,13500,452800
2002,3,Bizkaia,977400,521700,461900,59800,13500,455700
2002,2,Bizkaia,977000,512900,457000,55800,10400,464200
2002,1,Bizkaia,976500,519100,459500,59600,11100,457400
2016,1,Burgos,301700,179900,152300,27700,2100,121700
2015,4,Burgos,302200,177000,145600,31300,3100,125200
2015,3,Burgos,302900,173600,145600,28000,3500,129300
2015,2,Burgos,303700,176500,143400,33100,3700,127200
2015,1,Burgos,303700,176900,143300,33500,4900,126800
2014,4,Burgos,304200,180200,146400,33800,4500,124000
2014,3,Burgos,305100,181900,149000,32900,3600,123200
2014,2,Burgos,305400,183200,150300,32900,2300,122200
2014,1,Burgos,305800,181900,149000,32900,2300,123800
2013,4,Burgos,306600,178900,144700,34100,2500,127800
2013,3,Burgos,306900,180500,146100,34400,2400,126500
2013,2,Burgos,308400,177600,140500,37100,1200,130700
2013,1,Burgos,309000,182000,140900,41100,2200,127000
2012,4,Burgos,309800,181600,149200,32400,3100,128200
2012,3,Burgos,310600,185700,155200,30500,4000,124900
2012,2,Burgos,311500,185100,152200,32900,3000,126400
2012,1,Burgos,312400,179800,148800,30900,2100,132600
2011,4,Burgos,313200,177400,150800,26500,1400,135900
2011,3,Burgos,313700,183100,158000,25100,2900,130600
2011,2,Burgos,314000,184300,157800,26400,3000,129700
2011,1,Burgos,314400,182900,152000,30900,2400,131500
2010,4,Burgos,314900,186600,156100,30500,1900,128300
2010,3,Burgos,315100,183700,157300,26400,1500,131400
2010,2,Burgos,315400,186600,155600,31000,3200,128900
2010,1,Burgos,316000,183700,157700,26000,1100,132200
2009,4,Burgos,316400,184600,157700,26900,900,131800
2009,3,Burgos,316600,185300,162600,22700,1100,131300
2009,2,Burgos,317000,184400,159700,24800,700,132600
2009,1,Burgos,317300,188800,169000,19700,1200,128600
2008,4,Burgos,317600,193600,173100,20500,2300,124000
2008,3,Burgos,317500,192100,176400,15600,3100,125400
2008,2,Burgos,317100,190800,172100,18800,1800,126300
2008,1,Burgos,316800,192500,176900,15500,600,124300
2007,4,Burgos,316200,187800,173800,14000,1200,128500
2007,3,Burgos,314700,186400,173700,12600,1600,128400
2007,2,Burgos,313300,178400,167800,10600,1200,135000
2007,1,Burgos,312200,176600,166100,10400,2100,135600
2006,4,Burgos,310500,179500,169700,9900,1400,131000
2006,3,Burgos,309400,177800,166500,11200,1400,131700
2006,2,Burgos,308500,172800,160700,12100,1100,135700
2006,1,Burgos,307700,172500,156200,16300,1000,135200
2005,4,Burgos,307400,173400,162200,11200,2200,134000
2005,3,Burgos,306800,173300,163800,9500,1400,133500
2005,2,Burgos,306300,169400,158100,11400,1200,136800
2005,1,Burgos,305700,166000,151800,14200,1600,139700
2004,4,Burgos,305100,160700,149000,11700,2400,144400
2004,3,Burgos,304300,165000,153500,11500,2100,139300
2004,2,Burgos,303500,163700,148300,15400,2100,139800
2004,1,Burgos,302800,167900,150600,17300,1900,134900
2003,4,Burgos,302300,169500,153800,15700,900,132900
2003,3,Burgos,301900,167600,153400,14200,1300,134300
2003,2,Burgos,301500,165800,153300,12500,2000,135700
2003,1,Burgos,301000,164100,148400,15700,2000,136900
2002,4,Burgos,300500,162300,146000,16200,2700,138300
2002,3,Burgos,300100,162000,150000,12000,2300,138100
2002,2,Burgos,299400,160300,148100,12200,1700,139200
2002,1,Burgos,298800,156900,147900,9000,1300,142000
2016,1,Cáceres,340400,182200,133500,48700,5200,158100
2015,4,Cáceres,340700,182200,137200,45000,5500,158600
2015,3,Cáceres,341600,187300,137400,49800,6600,154300
2015,2,Cáceres,342000,189500,137500,52000,4900,152500
2015,1,Cáceres,341800,187500,131700,55700,5400,154300
2014,4,Cáceres,342200,188300,136900,51400,5400,153900
2014,3,Cáceres,342900,192700,142300,50500,6100,150100
2014,2,Cáceres,343200,187400,137100,50300,4000,155800
2014,1,Cáceres,343600,185700,132000,53700,3900,157900
2013,4,Cáceres,344000,188400,129500,58900,5400,155600
2013,3,Cáceres,344400,194700,130400,64300,6500,149700
2013,2,Cáceres,344700,188700,126600,62100,6700,156000
2013,1,Cáceres,345100,185200,121100,64100,5900,159900
2012,4,Cáceres,345600,184600,126900,57700,6100,161100
2012,3,Cáceres,345900,187700,126300,61400,7300,158200
2012,2,Cáceres,346200,181100,122400,58700,4300,165100
2012,1,Cáceres,346700,179900,124500,55400,4200,166700
2011,4,Cáceres,347100,182500,137700,44800,4200,164600
2011,3,Cáceres,347200,179000,142100,36900,4100,168200
2011,2,Cáceres,347000,176700,141900,34800,4100,170300
2011,1,Cáceres,346900,178200,140500,37700,4200,168700
2010,4,Cáceres,346900,177000,141600,35400,3300,169900
2010,3,Cáceres,346600,178400,139700,38700,4300,168200
2010,2,Cáceres,346500,182400,144100,38300,3100,164100
2010,1,Cáceres,346400,175600,136900,38700,3300,170800
2009,4,Cáceres,346300,172100,140500,31600,2900,174300
2009,3,Cáceres,345900,177300,143900,33400,3500,168600
2009,2,Cáceres,345400,174100,140400,33700,2600,171300
2009,1,Cáceres,345000,175400,138800,36600,4300,169600
2008,4,Cáceres,344700,173300,145600,27700,2200,171400
2008,3,Cáceres,344200,177800,152400,25400,2600,166400
2008,2,Cáceres,343700,178900,157100,21800,2000,164800
2008,1,Cáceres,343600,176600,149100,27500,3400,167000
2007,4,Cáceres,343400,181400,156300,25200,3400,162000
2007,3,Cáceres,343200,175500,157900,17600,3200,167700
2007,2,Cáceres,342600,175400,157800,17600,2500,167200
2007,1,Cáceres,342300,177300,158300,19000,2400,165000
2006,4,Cáceres,341800,176800,158800,18000,2800,165000
2006,3,Cáceres,341200,175200,156700,18500,2600,166000
2006,2,Cáceres,340500,172800,153600,19200,2400,167700
2006,1,Cáceres,340300,172900,150700,22100,1800,167500
2005,4,Cáceres,340200,173300,151000,22300,1900,166900
2005,3,Cáceres,339700,173100,152100,21000,2900,166500
2005,2,Cáceres,339200,172800,150100,22700,2200,166400
2005,1,Cáceres,339000,173100,149500,23700,1700,165800
2004,4,Cáceres,338700,168700,146700,22000,2800,170000
2004,3,Cáceres,338200,173100,144800,28200,3900,165100
2004,2,Cáceres,337600,169200,141100,28100,3700,168400
2004,1,Cáceres,337200,167500,138300,29200,4600,169700
2003,4,Cáceres,337100,169700,139100,30600,5100,167400
2003,3,Cáceres,336700,172300,140800,31400,6600,164500
2003,2,Cáceres,336400,165300,135100,30200,4900,171100
2003,1,Cáceres,335800,166800,132600,34200,4900,169000
2002,4,Cáceres,335300,165800,134500,31300,5400,169500
2002,3,Cáceres,334600,167100,136600,30500,5000,167600
2002,2,Cáceres,334000,162500,134000,28500,4400,171500
2002,1,Cáceres,333600,163100,133400,29700,4300,170600
2016,1,Cádiz,1016700,574500,361000,213400,21200,442200
2015,4,Cádiz,1016200,582200,368300,213900,25200,434000
2015,3,Cádiz,1016500,591700,371800,220000,27600,424700
2015,2,Cádiz,1016000,581600,364500,217100,26500,434400
2015,1,Cádiz,1015400,584300,338600,245700,27300,431000
2014,4,Cádiz,1015100,577000,332800,244300,25600,438000
2014,3,Cádiz,1014800,593100,348400,244700,26900,421700
2014,2,Cádiz,1013800,592000,341000,251000,27900,421800
2014,1,Cádiz,1012600,588100,333800,254300,28400,424500
2013,4,Cádiz,1012500,574600,342100,232500,27300,437900
2013,3,Cádiz,1012300,586400,369100,217300,29000,425900
2013,2,Cádiz,1012400,579800,349600,230200,25800,432600
2013,1,Cádiz,1012400,575600,338200,237400,22100,436800
2012,4,Cádiz,1012100,589300,354500,234800,27300,422800
2012,3,Cádiz,1011500,596600,385000,211500,27000,414900
2012,2,Cádiz,1010900,582300,384700,197600,25900,428600
2012,1,Cádiz,1010600,573100,365200,207900,18400,437500
2011,4,Cádiz,1010400,580300,377000,203300,17600,430100
2011,3,Cádiz,1009200,592700,408900,183800,18600,416500
2011,2,Cádiz,1007600,577600,395500,182100,16200,430000
2011,1,Cádiz,1006200,567200,382700,184500,15600,439000
2010,4,Cádiz,1004900,571600,392900,178700,16300,433300
2010,3,Cádiz,1003100,577600,407500,170100,17900,425500
2010,2,Cádiz,1001400,574200,403800,170400,14100,427300
2010,1,Cádiz,999900,575700,392000,183700,17200,424100
2009,4,Cádiz,998200,565300,404300,161000,17300,432900
2009,3,Cádiz,996400,564600,416900,147700,12500,431700
2009,2,Cádiz,994300,563300,415100,148100,13600,431100
2009,1,Cádiz,992600,561900,414700,147200,11900,430700
2008,4,Cádiz,990800,555700,434600,121200,10800,435100
2008,3,Cádiz,988400,563100,456400,106700,8800,425300
2008,2,Cádiz,985700,557700,456800,101000,8900,427900
2008,1,Cádiz,982800,548600,449400,99200,11500,434200
2007,4,Cádiz,980500,545600,450900,94700,9100,434900
2007,3,Cádiz,977300,546400,469300,77100,11100,430900
2007,2,Cádiz,973900,542400,469100,73300,9800,431500
2007,1,Cádiz,970200,528600,448700,79900,9400,441600
2006,4,Cádiz,966900,513800,443200,70600,8200,453100
2006,3,Cádiz,963000,526400,457500,69000,10500,436500
2006,2,Cádiz,959400,526000,434600,91400,13300,433400
2006,1,Cádiz,955800,525600,435400,90300,14400,430100
2005,4,Cádiz,952600,527800,436000,91900,14900,424700
2005,3,Cádiz,949000,516000,429200,86900,12200,433000
2005,2,Cádiz,945400,513000,424800,88200,15200,432400
2005,1,Cádiz,941700,507400,410400,97000,14000,434300
2004,4,Cádiz,938400,504900,394700,110200,16300,433400
2004,3,Cádiz,934200,496100,385100,111000,19300,438100
2004,2,Cádiz,930700,499100,384200,114900,21200,431600
2004,1,Cádiz,926900,483500,368000,115500,20800,443400
2003,4,Cádiz,923700,474700,354200,120400,20800,449100
2003,3,Cádiz,920200,475400,383800,91700,21500,444800
2003,2,Cádiz,917000,484500,375000,109400,21300,432500
2003,1,Cádiz,913700,481100,357100,124000,21600,432600
2002,4,Cádiz,911000,482800,353600,129100,22700,428300
2002,3,Cádiz,907600,483600,352500,131100,22100,424000
2002,2,Cádiz,904400,496000,364000,132000,23400,408400
2002,1,Cádiz,901400,475100,342800,132200,20400,426300
2016,1,Cantabria,492000,273900,222100,51800,4500,218100
2015,4,Cantabria,492400,274600,226000,48600,3300,217800
2015,3,Cantabria,493400,278700,233600,45100,4400,214700
2015,2,Cantabria,494200,276200,226100,50100,4900,218000
2015,1,Cantabria,494500,277900,226300,51500,3400,216700
2014,4,Cantabria,495000,278000,226800,51200,4100,217000
2014,3,Cantabria,495500,284100,230000,54100,5900,211300
2014,2,Cantabria,496000,279300,225500,53800,5100,216700
2014,1,Cantabria,496300,278600,220200,58400,5000,217700
2013,4,Cantabria,497000,282100,226200,55900,7400,214900
2013,3,Cantabria,497700,279800,227100,52700,7400,217900
2013,2,Cantabria,498400,277400,215600,61800,6700,221000
2013,1,Cantabria,499200,279200,221000,58300,5100,219900
2012,4,Cantabria,500000,285400,230600,54700,4500,214600
2012,3,Cantabria,500700,283000,238300,44700,4600,217800
2012,2,Cantabria,501200,282700,233500,49200,4400,218500
2012,1,Cantabria,502000,288700,234600,54200,3700,213200
2011,4,Cantabria,502600,285300,239900,45400,3900,217300
2011,3,Cantabria,502500,287500,246900,40600,3900,215100
2011,2,Cantabria,502300,282600,240600,42000,3500,219600
2011,1,Cantabria,502100,278800,233400,45400,3400,223300
2010,4,Cantabria,502300,280500,239400,41200,2900,221800
2010,3,Cantabria,502300,279800,246000,33800,2800,222500
2010,2,Cantabria,501900,285500,246300,39200,2800,216300
2010,1,Cantabria,501800,281300,241000,40300,3100,220400
2009,4,Cantabria,501700,281700,245900,35800,3600,220000
2009,3,Cantabria,501300,286300,254700,31700,3200,214900
2009,2,Cantabria,500600,285900,252500,33400,2200,214800
2009,1,Cantabria,499900,288200,251900,36200,3000,211700
2008,4,Cantabria,499300,285200,260100,25100,2100,214100
2008,3,Cantabria,498200,285900,267800,18100,2100,212300
2008,2,Cantabria,496400,283800,263600,20200,2200,212700
2008,1,Cantabria,495000,283800,265600,18200,1900,211200
2007,4,Cantabria,494100,280100,266900,13200,1300,214000
2007,3,Cantabria,492100,280500,264700,15700,2100,211700
2007,2,Cantabria,490100,277200,259400,17800,3500,212900
2007,1,Cantabria,488500,274900,255300,19600,2100,213600
2006,4,Cantabria,487100,272100,256100,16000,2700,215000
2006,3,Cantabria,485500,271600,254300,17400,3700,213800
2006,2,Cantabria,483800,266600,249200,17400,2900,217200
2006,1,Cantabria,482600,266400,247600,18800,2000,216200
2005,4,Cantabria,481800,267500,246100,21400,2800,214300
2005,3,Cantabria,480800,266400,247600,18800,2800,214300
2005,2,Cantabria,479300,261800,238000,23900,4300,217500
2005,1,Cantabria,477800,258200,232800,25400,2500,219700
2004,4,Cantabria,476700,254800,226500,28300,4600,222000
2004,3,Cantabria,475200,254300,231000,23300,5100,220900
2004,2,Cantabria,473700,253400,226700,26700,4400,220300
2004,1,Cantabria,472400,251900,223100,28800,5200,220400
2003,4,Cantabria,471200,253000,226600,26400,5000,218200
2003,3,Cantabria,469800,251100,223800,27300,7100,218700
2003,2,Cantabria,468300,246500,221100,25400,6700,221800
2003,1,Cantabria,466900,238300,214300,24000,6100,228500
2002,4,Cantabria,465700,240500,215000,25400,7400,225300
2002,3,Cantabria,464200,236600,212300,24200,8300,227600
2002,2,Cantabria,462900,234700,211900,22800,6800,228100
2002,1,Cantabria,461800,230100,208200,21900,6800,231700
2016,1,Castellón/Castelló,471200,269400,211600,57700,4500,201900
2015,4,Castellón/Castelló,471800,274100,220600,53500,3800,197700
2015,3,Castellón/Castelló,474200,278600,220200,58300,4900,195600
2015,2,Castellón/Castelló,475400,284800,216800,67900,5900,190600
2015,1,Castellón/Castelló,472700,283800,210900,72900,6000,189000
2014,4,Castellón/Castelló,473500,286600,216100,70600,6700,186900
2014,3,Castellón/Castelló,475800,284100,205000,79100,8800,191700
2014,2,Castellón/Castelló,478400,288300,208600,79700,6700,190100
2014,1,Castellón/Castelló,474900,286900,205900,80900,4500,188000
2013,4,Castellón/Castelló,476600,287100,208600,78500,5200,189500
2013,3,Castellón/Castelló,477100,291100,210300,80800,5200,186000
2013,2,Castellón/Castelló,480800,287600,199200,88400,4800,193200
2013,1,Castellón/Castelló,483000,289800,200900,88900,4400,193200
2012,4,Castellón/Castelló,485300,293700,215200,78500,5200,191600
2012,3,Castellón/Castelló,487200,292600,213200,79500,6300,194600
2012,2,Castellón/Castelló,489100,293200,213500,79800,5500,195800
2012,1,Castellón/Castelló,490900,292100,211200,80800,4100,198900
2011,4,Castellón/Castelló,492200,295900,219400,76500,4400,196300
2011,3,Castellón/Castelló,492600,298200,221400,76700,4700,194400
2011,2,Castellón/Castelló,492700,297300,219400,77900,4700,195400
2011,1,Castellón/Castelló,493400,301900,223200,78700,4800,191500
2010,4,Castellón/Castelló,493800,302700,231600,71000,4800,191100
2010,3,Castellón/Castelló,493700,306200,234000,72200,7300,187500
2010,2,Castellón/Castelló,493700,302500,229100,73400,4200,191200
2010,1,Castellón/Castelló,494300,305700,231500,74300,3400,188600
2009,4,Castellón/Castelló,494900,309900,244300,65700,5100,184900
2009,3,Castellón/Castelló,494900,308200,245200,63000,5200,186700
2009,2,Castellón/Castelló,494800,309900,249900,60100,3700,184900
2009,1,Castellón/Castelló,494600,307300,253400,53900,2700,187200
2008,4,Castellón/Castelló,494700,310400,266000,44400,2500,184300
2008,3,Castellón/Castelló,493800,307500,273300,34200,4200,186300
2008,2,Castellón/Castelló,492700,311100,282000,29100,2500,181700
2008,1,Castellón/Castelló,491500,308200,283600,24600,1900,183300
2007,4,Castellón/Castelló,489100,303600,282200,21400,1600,185500
2007,3,Castellón/Castelló,484900,298800,280000,18800,1800,186100
2007,2,Castellón/Castelló,481000,292200,271000,21200,3700,188800
2007,1,Castellón/Castelló,477300,288000,269000,19000,3400,189300
2006,4,Castellón/Castelló,472200,286900,267900,19000,2900,185200
2006,3,Castellón/Castelló,467800,283400,268200,15200,2400,184400
2006,2,Castellón/Castelló,464100,283400,265000,18400,1800,180600
2006,1,Castellón/Castelló,461000,282000,263600,18400,1900,179000
2005,4,Castellón/Castelló,458400,287400,268500,18800,1600,171000
2005,3,Castellón/Castelló,455100,282000,265200,16800,2000,173000
2005,2,Castellón/Castelló,452300,271500,247600,23900,3800,180900
2005,1,Castellón/Castelló,449600,270200,247000,23200,2000,179400
2004,4,Castellón/Castelló,446200,264700,245900,18800,2800,181500
2004,3,Castellón/Castelló,442000,256400,233800,22600,3200,185700
2004,2,Castellón/Castelló,439000,250400,227800,22600,3000,188600
2004,1,Castellón/Castelló,436600,252300,229300,23100,2300,184300
2003,4,Castellón/Castelló,434100,255500,235000,20400,3400,178600
2003,3,Castellón/Castelló,430900,247200,232400,14800,2300,183800
2003,2,Castellón/Castelló,428300,244200,227900,16300,2300,184100
2003,1,Castellón/Castelló,425800,248500,232600,16000,1700,177300
2002,4,Castellón/Castelló,422400,241900,228400,13500,3200,180400
2002,3,Castellón/Castelló,418500,236800,225400,11400,1500,181700
2002,2,Castellón/Castelló,415300,233700,221300,12400,2200,181600
2002,1,Castellón/Castelló,412300,233300,220300,13100,1400,178900
2016,1,Ciudad,423100,234700,165600,69100,9000,188400
2015,4,Ciudad,423900,233200,165700,67500,8800,190600
2015,3,Ciudad,425400,236300,165400,70800,9500,189100
2015,2,Ciudad,426600,235600,159600,76000,10400,191100
2015,1,Ciudad,426500,234600,154900,79700,11100,191900
2014,4,Ciudad,427100,239700,159700,80000,12000,187400
2014,3,Ciudad,427800,247800,166900,80900,11400,180000
2014,2,Ciudad,428600,242500,163400,79200,10600,186100
2014,1,Ciudad,428900,242400,161300,81100,10200,186500
2013,4,Ciudad,429900,241400,168900,72500,9100,188500
2013,3,Ciudad,431300,242000,172100,69900,8400,189300
2013,2,Ciudad,431900,236400,163600,72800,8200,195500
2013,1,Ciudad,432800,241500,163100,78400,9600,191300
2012,4,Ciudad,433500,239700,166000,73700,7600,193800
2012,3,Ciudad,434000,243000,169900,73100,10200,191000
2012,2,Ciudad,434600,242700,163500,79200,8400,191900
2012,1,Ciudad,435400,243200,168300,75000,7900,192200
2011,4,Ciudad,436200,246300,179200,67100,8200,189900
2011,3,Ciudad,436200,240400,184800,55600,6300,195800
2011,2,Ciudad,436000,244700,188600,56100,8200,191300
2011,1,Ciudad,436100,242500,189000,53500,6700,193500
2010,4,Ciudad,435900,242900,189300,53600,5600,192900
2010,3,Ciudad,435500,243300,194600,48800,4700,192100
2010,2,Ciudad,435200,248600,190500,58100,3400,186600
2010,1,Ciudad,435300,247500,189500,58000,4200,187800
2009,4,Ciudad,435300,246900,194600,52300,4700,188500
2009,3,Ciudad,435000,239800,194500,45300,5000,195200
2009,2,Ciudad,434500,244600,195300,49300,2700,190000
2009,1,Ciudad,434200,238600,193300,45300,3500,195500
2008,4,Ciudad,433800,239100,201100,38000,5800,194700
2008,3,Ciudad,432900,239200,204500,34700,6800,193700
2008,2,Ciudad,431900,237900,208300,29700,3800,194000
2008,1,Ciudad,431000,229900,204300,25600,2600,201100
2007,4,Ciudad,429800,226300,205200,21100,2600,203500
2007,3,Ciudad,427400,230900,209600,21400,4000,196400
2007,2,Ciudad,425300,229500,208300,21200,3700,195800
2007,1,Ciudad,423100,223600,202800,20700,3100,199500
2006,4,Ciudad,420200,222300,199800,22500,2000,197900
2006,3,Ciudad,418000,224900,202700,22200,2800,193200
2006,2,Ciudad,416200,219900,194500,25300,4200,196400
2006,1,Ciudad,414600,219100,192300,26800,2600,195500
2005,4,Ciudad,413000,216100,194500,21700,3700,196900
2005,3,Ciudad,411300,218900,197300,21600,6100,192400
2005,2,Ciudad,409800,213200,188900,24200,4100,196700
2005,1,Ciudad,407900,209100,185400,23700,2500,198800
2004,4,Ciudad,406000,209600,184200,25300,3800,196500
2004,3,Ciudad,403900,204600,185400,19200,5900,199300
2004,2,Ciudad,402600,194100,177500,16600,2700,208500
2004,1,Ciudad,401600,190400,174000,16400,2300,211100
2003,4,Ciudad,400600,200000,178300,21700,3700,200600
2003,3,Ciudad,399100,202000,180500,21500,4900,197000
2003,2,Ciudad,398000,197200,176000,21200,4300,200800
2003,1,Ciudad,396800,195300,171900,23300,4700,201500
2002,4,Ciudad,395400,190500,174500,16000,4000,205000
2002,3,Ciudad,394100,190700,174700,16000,3400,203400
2002,2,Ciudad,393000,187800,170100,17700,3100,205200
2002,1,Ciudad,392000,187500,166200,21300,3900,204500
2016,1,Córdoba,654400,378700,269600,109200,11200,275700
2015,4,Córdoba,654800,373600,262600,110900,8200,281300
2015,3,Córdoba,655600,370800,255900,114900,9300,284700
2015,2,Córdoba,656200,375200,265800,109400,8800,281000
2015,1,Córdoba,656400,371300,259500,111800,12500,285100
2014,4,Córdoba,656600,376000,248600,127400,17100,280600
2014,3,Córdoba,656800,370300,238000,132300,14400,286600
2014,2,Córdoba,657100,369400,246200,123200,12300,287700
2014,1,Córdoba,656700,376000,257200,118800,11500,280700
2013,4,Córdoba,657100,381000,241200,139700,15200,276200
2013,3,Córdoba,657300,377200,237000,140200,17100,280100
2013,2,Córdoba,658300,382500,255100,127400,14400,275800
2013,1,Córdoba,658700,378600,251700,126900,11800,280100
2012,4,Córdoba,659200,378800,246800,132000,14900,280400
2012,3,Córdoba,659400,377800,236400,141400,15500,281600
2012,2,Córdoba,659700,376200,249700,126500,8400,283500
2012,1,Córdoba,660100,390200,262700,127500,9900,269900
2011,4,Córdoba,660400,390700,268200,122500,9000,269700
2011,3,Córdoba,660100,381300,253600,127700,9900,278800
2011,2,Córdoba,659700,388700,259500,129200,9600,271100
2011,1,Córdoba,659400,384800,275600,109200,8600,274600
2010,4,Córdoba,659100,385300,274700,110600,8800,273800
2010,3,Córdoba,658500,379700,260600,119100,9800,278800
2010,2,Córdoba,658000,383300,272800,110500,7900,274700
2010,1,Córdoba,657300,386200,296000,90200,7500,271100
2009,4,Córdoba,656600,380000,281400,98700,7100,276600
2009,3,Córdoba,656000,381000,275300,105700,10800,275000
2009,2,Córdoba,655200,382000,278300,103700,6700,273100
2009,1,Córdoba,654400,381000,292800,88200,6600,273400
2008,4,Córdoba,653800,371100,296200,74900,6600,282700
2008,3,Córdoba,652600,367000,303100,63800,6900,285700
2008,2,Córdoba,651400,363600,307400,56200,6700,287800
2008,1,Córdoba,650300,365900,321100,44800,3600,284300
2007,4,Córdoba,649000,358100,305500,52600,4100,290800
2007,3,Córdoba,647200,348000,302900,45100,5400,299300
2007,2,Córdoba,645900,351500,303900,47600,6000,294400
2007,1,Córdoba,644700,357100,307300,49800,4700,287600
